Date,Open,High,Low,Close,Adj Close,Average
1/4/2010,1.666667,1.683333,1.666667,1.666667,1.666667,1.6700002
1/5/2010,1.666667,1.796667,1.5,1.79,1.79,1.7086668
1/6/2010,1.816667,1.816667,1.666667,1.783333,1.783333,1.7733334
1/7/2010,1.683333,1.783333,1.683333,1.683333,1.683333,1.703333
1/8/2010,1.7,1.776667,1.586667,1.773333,1.773333,1.722
1/11/2010,1.773333,1.773333,1.666667,1.7,1.7,1.7226666
1/12/2010,1.666667,1.666667,1.583333,1.65,1.65,1.6433334
1/13/2010,1.65,1.65,1.583333,1.6,1.6,1.6166666
1/14/2010,1.583333,1.633333,1.533333,1.6,1.6,1.5899998
1/15/2010,1.536667,1.583333,1.533333,1.583333,1.583333,1.5639998
1/19/2010,1.503333,1.533333,1.35,1.463333,1.463333,1.4626664
1/20/2010,1.383333,1.416667,1.383333,1.416667,1.416667,1.4033334
1/21/2010,1.383333,1.816667,1.383333,1.666667,1.666667,1.5833334
1/22/2010,1.666667,1.733333,1.623333,1.633333,1.633333,1.6579998
1/25/2010,1.6,1.633333,1.583333,1.583333,1.583333,1.5966664
1/26/2010,1.583333,1.583333,1.466667,1.533333,1.533333,1.5399998
1/27/2010,1.433333,1.5,1.346667,1.436667,1.436667,1.4306668
1/28/2010,1.366667,1.496667,1.333333,1.496667,1.496667,1.4380002
1/29/2010,1.533333,1.666667,1.533333,1.666667,1.666667,1.6133334
2/1/2010,1.733333,1.733333,1.503333,1.633333,1.633333,1.647333
2/2/2010,1.633333,1.633333,1.613333,1.613333,1.613333,1.621333
2/3/2010,1.633333,1.633333,1.566667,1.633333,1.633333,1.6199998
2/4/2010,1.566667,1.633333,1.536667,1.55,1.55,1.5673334
2/5/2010,1.536667,1.583333,1.476667,1.5,1.5,1.5193334
2/8/2010,1.483333,1.6,1.483333,1.533333,1.533333,1.5266664
2/9/2010,1.533333,1.56,1.503333,1.533333,1.533333,1.5326664
2/10/2010,1.003333,1.316667,1.003333,1.266667,1.266667,1.1713334
2/11/2010,1.3,1.3,1.233333,1.233333,1.233333,1.2599998
2/12/2010,1.233333,1.266667,1.233333,1.266667,1.266667,1.2533334
2/16/2010,1.266667,1.266667,1.196667,1.196667,1.196667,1.224667
2/17/2010,1.233333,1.233333,1.183333,1.2,1.2,1.2099998
2/18/2010,1.196667,1.216667,1.18,1.2,1.2,1.1986668
2/19/2010,1.2,1.233333,1.18,1.216667,1.216667,1.2093334
2/22/2010,1.216667,1.233333,1.173333,1.173333,1.173333,1.1939998
2/23/2010,1.216667,1.216667,1.106667,1.146667,1.146667,1.166667
2/24/2010,1.146667,1.166667,1.033333,1.166667,1.166667,1.1360002
2/25/2010,1.15,1.166667,1.133333,1.143333,1.143333,1.1473332
2/26/2010,1.166667,1.166667,1.12,1.126667,1.126667,1.1413336
3/1/2010,1.133333,1.133333,1.093333,1.133333,1.133333,1.125333
3/2/2010,1.15,1.15,1.076667,1.1,1.1,1.1153334
3/3/2010,1.116667,1.116667,1.066667,1.09,1.09,1.0960002
3/4/2010,1.166667,1.166667,1.066667,1.086667,1.086667,1.114667
3/5/2010,1.133333,1.133333,1.016667,1.033333,1.033333,1.0699998
3/8/2010,1.213333,1.213333,1.036667,1.04,1.04,1.1086666
3/9/2010,1.05,1.066667,0.993333,0.993333,0.993333,1.0193332
3/10/2010,1.033333,1.066667,0.976667,1.066667,1.066667,1.0420002
3/11/2010,1.06,1.116667,1.016667,1.113333,1.113333,1.084
