Date,Open,High,Low,Close,Adj Close,Average
1/4/2010,11.49,11.69,11.47,11.58,7.458041,10.7376082
1/5/2010,11.6,11.66,11.46,11.53,7.425838,10.7351676
1/6/2010,11.56,11.61,11.38,11.49,7.400078,10.6880156
1/7/2010,11.41,11.44,11.07,11.11,7.155339,10.4370678
1/8/2010,11.14,11.22,11.03,11.1,7.148899,10.3277798
1/11/2010,11.15,11.24,10.88,11.04,7.110257,10.2840514
1/12/2010,10.88,10.93,10.61,10.7,6.891282,10.0022564
1/13/2010,10.71,11.01,10.71,10.98,7.071615,10.096323
1/14/2010,11.01,11.01,10.86,10.87,7.000769,10.1501538
1/15/2010,10.94,10.94,10.56,10.6,6.826878,9.9733756
1/19/2010,10.68,10.99,10.61,10.96,7.058733,10.0597466
1/20/2010,10.9,10.91,10.71,10.8,6.955686,10.0551372
1/21/2010,10.86,10.93,10.56,10.59,6.820438,9.9520876
1/22/2010,10.51,10.55,10.09,10.09,6.498415,9.547683
1/25/2010,10.09,10.39,10.09,10.15,6.537054,9.4514108
1/26/2010,10.16,10.18,9.95,10,6.44045,9.34609
1/27/2010,10.03,10.14,9.94,9.99,6.43401,9.306802
1/28/2010,10.18,10.2,9.89,10.05,6.472653,9.3585306
1/29/2010,10.24,10.37,10.1,10.16,6.543498,9.4826996
2/1/2010,10.14,10.29,9.92,10.08,6.491975,9.384395
2/2/2010,10.08,10.08,9.9,9.96,6.414688,9.2869376
2/3/2010,9.98,10.14,9.92,10.06,6.479092,9.3158184
2/4/2010,10.02,10.05,9.6,9.68,6.234356,9.1168712
2/5/2010,9.6,9.71,9.4,9.56,6.157072,8.8854144
2/8/2010,9.7,9.74,9.43,9.61,6.189273,8.9338546
2/9/2010,9.7,9.82,9.55,9.6,6.182832,8.9705664
2/10/2010,9.6,9.73,9.51,9.7,6.247237,8.9574474
2/11/2010,9.74,9.91,9.6,9.89,6.369605,9.101921
2/12/2010,9.79,9.85,9.65,9.71,6.253676,9.0507352
2/16/2010,9.75,9.92,9.72,9.91,6.382485,9.136497
2/17/2010,9.95,10.06,9.9,10.02,6.453332,9.2766664
2/18/2010,10.06,10.1,9.91,10.06,6.479092,9.3218184
2/19/2010,10.05,10.09,9.92,10.02,6.453332,9.3066664
2/22/2010,10.03,10.09,9.98,10,6.44045,9.30809
2/23/2010,10.03,10.03,9.78,9.85,6.343843,9.2067686
2/24/2010,9.85,9.96,9.75,9.82,6.324523,9.1409046
2/25/2010,9.75,9.79,9.56,9.75,6.279439,9.0258878
2/26/2010,9.73,9.78,9.64,9.75,6.279439,9.0358878
3/1/2010,9.91,10,9.89,9.95,6.408247,9.2316494
3/2/2010,10.02,10.1,9.9,9.95,6.408247,9.2756494
3/3/2010,10.06,10.07,9.81,9.86,6.350284,9.2300568
3/4/2010,9.77,9.91,9.75,9.87,6.356723,9.1313446
3/5/2010,9.99,10.15,9.96,10.13,6.524177,9.3508354
3/8/2010,10.19,10.25,10.15,10.23,6.588581,9.4817162
3/9/2010,10.19,10.34,10.16,10.25,6.601461,9.5082922
3/10/2010,10.24,10.5,10.21,10.34,6.659425,9.589885
3/11/2010,10.36,10.5,10.3,10.5,6.762473,9.6844946
3/12/2010,10.45,10.49,10.25,10.33,6.652984,9.6345968
3/15/2010,10.24,10.25,10.07,10.14,6.530615,9.446123
3/16/2010,10.14,10.33,10.11,10.29,6.627223,9.4994446
3/17/2010,10.36,10.47,10.34,10.42,6.710951,9.6601902
3/18/2010,10.46,10.48,10.22,10.34,6.659425,9.631885
3/19/2010,10.09,10.34,10.08,10.09,6.498415,9.419683
3/22/2010,10.09,10.24,10.04,10.18,6.556379,9.4212758
3/23/2010,10.2,10.29,10.15,10.27,6.614344,9.5048688
3/24/2010,10.23,10.41,10.2,10.33,6.652984,9.5645968
3/25/2010,10.35,10.55,10.35,10.42,6.710951,9.6761902
3/26/2010,10.45,10.55,10.32,10.36,6.672306,9.6704612
3/29/2010,10.49,10.54,10.39,10.54,6.788234,9.7496468
3/30/2010,10.57,10.62,10.46,10.55,6.794675,9.798935
3/31/2010,10.44,10.52,10.37,10.49,6.756031,9.7152062
4/1/2010,10.55,10.69,10.51,10.6,6.826878,9.8353756
4/5/2010,10.66,10.78,10.42,10.73,6.910604,9.9001208
4/6/2010,10.74,10.84,10.71,10.83,6.975006,10.0190012
4/7/2010,10.87,10.98,10.81,10.85,6.987888,10.0995776
4/8/2010,10.77,10.77,10.58,10.62,6.839758,9.9159516
4/9/2010,10.71,10.75,10.51,10.62,6.839758,9.8859516
4/12/2010,10.67,10.69,10.59,10.59,6.820438,9.8720876
4/13/2010,10.54,10.7,10.51,10.67,6.87196,9.858392
4/14/2010,10.83,11.25,10.82,11.25,7.245508,10.2791016
4/15/2010,11.19,11.24,11.08,11.13,7.168221,10.3616442
4/16/2010,10.99,11.01,10.69,10.85,6.987888,10.1055776
4/19/2010,10.74,10.9,10.66,10.84,6.98145,10.02429
4/20/2010,10.88,11.02,10.83,10.9,7.02009,10.130018
4/21/2010,10.89,10.93,10.65,10.84,6.98145,10.05829
4/22/2010,10.68,10.98,10.65,10.97,7.065174,10.0690348
4/23/2010,10.98,10.98,10.8,10.96,7.058733,10.1557466
4/26/2010,11.04,11.11,10.95,10.99,7.078056,10.2336112
4/27/2010,10.89,10.89,10.56,10.6,6.826878,9.9533756
4/28/2010,10.74,10.75,10.4,10.5,6.762473,9.8304946
4/29/2010,10.54,10.6,10.45,10.56,6.801116,9.7902232
4/30/2010,10.59,10.65,10.46,10.59,6.820438,9.8220876
5/3/2010,10.67,10.7,10.53,10.66,6.865521,9.8851042
5/4/2010,10.6,10.6,10.02,10.09,6.498415,9.561683
5/5/2010,10.03,10.09,9.83,9.96,6.414688,9.2649376
5/6/2010,9.96,10.09,9.5,9.77,6.292322,9.1224644
5/7/2010,9.9,10.01,9.67,9.89,6.369605,9.167921
5/10/2010,10.2,10.35,10.09,10.3,6.633664,9.5147328
5/11/2010,10.1,10.32,10.09,10.17,6.549937,9.4459874
5/12/2010,10.27,10.3,10.18,10.23,6.588581,9.5137162
5/13/2010,10.26,10.35,10.18,10.25,6.601461,9.5282922
5/14/2010,10.13,10.23,9.71,9.87,6.356723,9.2593446
5/17/2010,9.93,10.02,9.66,9.97,6.42113,9.200226
5/18/2010,10,10.07,9.65,9.73,6.266559,9.1433118
5/19/2010,9.75,9.91,9.66,9.82,6.324523,9.0929046
